Gakuen Polizi,,,Seven Seas,abgeschlossen,2,2,eng,Yuri,,,
Gals!,"Fujii, Mihona","Fujii, Mihona",Egmont,abgeschlossen,10,10,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx30089-GhAXx8Re8nRm.jpg,,
Gamers!,"Aoi, Sekina","Takahshi, Tsubasa",altraverse,laufend,-,3,de,Comedy,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx98786-rDK3Py0g8vSV.jpg,,
Geliebte Mangaka,"Kodama, Naoko","Kodama, Naoko",Tokyopop,abgeschlossen,1,1,de,Yuri,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/29513.jpg,,
Ghost in the Shell,,,Panini,,,1,de,,,,
Gib mir Liebe,"Minami, Kanan","Minami, Kanan",Tokyopop,abgeschlossen,8,8,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/828.jpg,,
Girl Friends Complete Collection,,,Seven Seas,abgeschlossen,2,2,eng,Yuri,,,
Girls love: Shojo bigaku,,,Egmont,abgeschlossen,1,1,eng,Yuri,,,
Girls und Panzer,"Saitaniya, Ryouichi","Saitaniya, Ryouichi",Egmont,abgeschlossen,4,4,de,Comedy,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/42223.jpg,,
Girls und Panzer little Army,Tsuchii,Tsuchii,Egmont,abgeschlossen,2,2,de,Comedy,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/42209.jpg,,
Go! Virginal,,,Egmont,abgeschlossen,2,2,de,Shojo,,,
Goblin Slayer,"Kagyu, Kumo","Korose, Kousuke",altraverse,laufend,-,6,de,Action,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/57321-dFsbpC0uTJDK.jpg,,
Goblin Slayer: Brand New Day,"Kagyu, Kumo","Ikeno, Masahiro",altraverse,abgeschlossen,2,1,de,Action,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/n101863-mGwXBsNP4Q5u.png,,
Goblin Slayer Year One,"Kagyu, Kumo","Sakaeda, Kento",altraverse,laufend,,1,de,Action,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx100117-HWPGhRu19f3g.jpg,,
